num_date_time,answer
1 2020-08-25 00,8679.7333984375
1 2020-08-25 01,8668.357421875
1 2020-08-25 02,8655.3486328125
1 2020-08-25 03,8631.845703125
1 2020-08-25 04,8577.4619140625
1 2020-08-25 05,8553.7734375
1 2020-08-25 06,8548.97265625
1 2020-08-25 07,8566.0546875
1 2020-08-25 08,8599.1015625
1 2020-08-25 09,8639.173828125
1 2020-08-25 10,8705.9375
1 2020-08-25 11,8717.0830078125
1 2020-08-25 12,8747.9599609375
1 2020-08-25 13,8742.03515625
1 2020-08-25 14,8744.2529296875
1 2020-08-25 15,8763.1650390625
1 2020-08-25 16,8762.02734375
1 2020-08-25 17,8753.513671875
1 2020-08-25 18,8721.986328125
1 2020-08-25 19,8661.9521484375
1 2020-08-25 20,8671.3857421875
1 2020-08-25 21,8669.671875
1 2020-08-25 22,8640.9541015625
1 2020-08-25 23,8649.849609375
1 2020-08-26 00,8648.5478515625
1 2020-08-26 01,8630.8232421875
1 2020-08-26 02,8607.296875
1 2020-08-26 03,8597.0322265625
1 2020-08-26 04,8596.6171875
1 2020-08-26 05,8583.9873046875
1 2020-08-26 06,8570.1943359375
1 2020-08-26 07,8548.5771484375
1 2020-08-26 08,8555.4453125
1 2020-08-26 09,8585.62109375
1 2020-08-26 10,8659.44140625
1 2020-08-26 11,8704.8857421875
1 2020-08-26 12,8737.5185546875
1 2020-08-26 13,8775.033203125
1 2020-08-26 14,8764.251953125
1 2020-08-26 15,8775.291015625
1 2020-08-26 16,8798.859375
1 2020-08-26 17,8798.201171875
1 2020-08-26 18,8740.9951171875
1 2020-08-26 19,8708.6728515625
1 2020-08-26 20,8684.9814453125
1 2020-08-26 21,8702.6611328125
1 2020-08-26 22,8724.9091796875
1 2020-08-26 23,8722.48046875
1 2020-08-27 00,8686.810546875
1 2020-08-27 01,8682.857421875
1 2020-08-27 02,8652.5771484375
1 2020-08-27 03,8636.869140625
1 2020-08-27 04,8638.3115234375
1 2020-08-27 05,8630.0263671875
1 2020-08-27 06,8599.7880859375
1 2020-08-27 07,8587.69921875
1 2020-08-27 08,8608.4267578125
1 2020-08-27 09,8623.37890625
1 2020-08-27 10,8667.6953125
1 2020-08-27 11,8691.669921875
1 2020-08-27 12,8698.01953125
1 2020-08-27 13,8730.08984375
1 2020-08-27 14,8758.3828125
1 2020-08-27 15,8804.0732421875
1 2020-08-27 16,8811.890625
1 2020-08-27 17,8794.8837890625
1 2020-08-27 18,8757.916015625
1 2020-08-27 19,8708.6083984375
1 2020-08-27 20,8669.6435546875
1 2020-08-27 21,8651.646484375
1 2020-08-27 22,8635.3046875
1 2020-08-27 23,8663.15234375
1 2020-08-28 00,8661.5615234375
1 2020-08-28 01,8667.0302734375
1 2020-08-28 02,8640.0400390625
1 2020-08-28 03,8625.4892578125
1 2020-08-28 04,8617.267578125
1 2020-08-28 05,8602.06640625
1 2020-08-28 06,8570.2333984375
1 2020-08-28 07,8571.794921875
1 2020-08-28 08,8599.3779296875
1 2020-08-28 09,8627.91796875
1 2020-08-28 10,8704.689453125
1 2020-08-28 11,8741.99609375
1 2020-08-28 12,8743.5771484375
1 2020-08-28 13,8776.2275390625
1 2020-08-28 14,8757.5146484375
1 2020-08-28 15,8792.119140625
1 2020-08-28 16,8822.8486328125
1 2020-08-28 17,8796.501953125
1 2020-08-28 18,8736.232421875
1 2020-08-28 19,8703.1962890625
1 2020-08-28 20,8696.5283203125
1 2020-08-28 21,8688.603515625
1 2020-08-28 22,8685.8095703125
1 2020-08-28 23,8671.236328125
1 2020-08-29 00,8637.8779296875
1 2020-08-29 01,8629.9990234375
1 2020-08-29 02,8627.900390625
1 2020-08-29 03,8615.26171875
1 2020-08-29 04,8594.609375
1 2020-08-29 05,8576.4619140625
1 2020-08-29 06,8561.7333984375
1 2020-08-29 07,8547.30078125
1 2020-08-29 08,8565.38671875
1 2020-08-29 09,8602.642578125
1 2020-08-29 10,8630.9091796875
1 2020-08-29 11,8664.4794921875
1 2020-08-29 12,8711.3662109375
1 2020-08-29 13,8734.6201171875
1 2020-08-29 14,8682.00390625
1 2020-08-29 15,8609.6240234375
1 2020-08-29 16,8548.2197265625
1 2020-08-29 17,8561.5859375
1 2020-08-29 18,8599.1728515625
1 2020-08-29 19,8622.453125
1 2020-08-29 20,8628.390625
1 2020-08-29 21,8586.7578125
1 2020-08-29 22,8568.1962890625
1 2020-08-29 23,8565.400390625
1 2020-08-30 00,8570.474609375
1 2020-08-30 01,8558.9267578125
1 2020-08-30 02,8528.830078125
1 2020-08-30 03,8524.15234375
1 2020-08-30 04,8518.7900390625
1 2020-08-30 05,8518.0439453125
1 2020-08-30 06,8501.2919921875
1 2020-08-30 07,8478.890625
1 2020-08-30 08,8490.3486328125
1 2020-08-30 09,8497.1787109375
1 2020-08-30 10,8550.12890625
1 2020-08-30 11,8560.3564453125
1 2020-08-30 12,8580.689453125
